id,question,option1,option2,option3,option4,ans,hit,,,
1,將 4.38 用四捨五入法取到「個位」是多少？,4,4.3,4.4,5,A,取到個位看「十分位」，3 比 5 小，要捨去。,,,
2,將 8.51 用四捨五入法取到「個位」是多少？,8,8.5,9,10,C,取到個位看「十分位」，5 剛好要進位喔！,,,
3,將 2.349 用四捨五入法取到「小數第一位」是多少？,2.3,2.35,2.4,2.5,A,取到小數第一位看「百分位」（第二位），4 比 5 小。,,,
4,將 5.672 用四捨五入法取到「小數第一位」是多少？,5.6,5.7,5.8,6,B,取到小數第一位看「百分位」，7 比 5 大，前面要 +1。,,,
5,做四捨五入時，如果要取到「百分位」，關鍵要看哪一位？,個位,十分位,百分位,千分位,D,關鍵字永遠是目標位數的「下一位」。,,,
6,下列哪一個數四捨五入取到個位後是 10？,9.4,9.5,10.5,10.6,B,找找看誰會進位變成 10？（9.5 進位變 10；10.5 會變 11 喔）。,,,
7,19.96 四捨五入取到「小數第一位」是多少？,19.9,19,20,20.9,C,9 進位變成 10，要再往前面進位（連續進位爆炸）。,,,
8,某數四捨五入取到小數第一位是 3.5，某數「不可能」是？,3.45,3.49,3.54,3.56,D,3.56 的百分位是 6，進位後會變成 3.6 喔。,,,
9,關於 7.54 的敘述，何者正確？,四捨五入到個位是 7,四捨五入到十分位是 7.6,四捨五入到十分位是 7.5,無法四捨五入,C,這是這張圖片題目的縮小版，7.54 的 4 要捨去。,,,
10,數線上，3.74 比較靠近 3.7 還是 3.8？,3.7,3.8,一樣近,靠近 4,A,3.74 的 4 表示它還沒過半，所以會退回 3.7。,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
