id,question,option1,option2,option3,option4,ans,hit
1,長方體共有幾個面？,4 個,6 個,8 個,12 個,B,面數：拿一個面紙盒數數看！除了前後、左右，別忘了還有頭和腳（頂面與底面）喔！
2,長方體共有幾條邊？,6 條,8 條,10 條,12 條,B,邊數：想像你在幫盒子鑲邊，上面一圈有 4 條，下面一圈有 4 條，站著的柱子也有 4 條，加起來是多少呢？
3,長方體中，相對的面有什麼關係？,垂直,重合,平行,交叉,C,相對的面：看看你的天花板和地板，它們會撞在一起嗎？永遠保持距離的關係叫做什麼？
4,在長方體中，任一個頂點連接幾條邊？,2 條,3 條,4 條,6 條,B,頂點連邊：看著房間的一個角落，牆角伸出了幾條線？一條往上、兩條往旁邊，數數看共幾條。
5,長方體中，相鄰的兩個面互相？,平行,垂直,沒關係,重疊,B,相鄰的面：牆壁和地板連在一起的地方，是不是像英文字母『L』一樣正正方方的？這就是垂直喔！
6,正方體是長方體的一種嗎？,是,不是,不一定,視情況而定,A,正方體定義：正方體其實是個『長、寬、高都一樣』的特別長方體。就像正方形也是一種長方形一樣喔！
7,一個長方體最多有幾組平行的面？,1 組,2 組,3 組,4 組,C,平行面組數：一對一對來找找看！『上下』是一組，『左右』是一組，還有哪裡也是一組？
8,若面 A 與面 B 垂直，它們交接處是什麼？,一個點,一條線,一個面,沒交接,B,交接處：拿兩張紙垂直靠在一起，它們碰到的地方是一顆小點點，還是一條線呢？
9,長方體的每個面都是什麼形狀？,三角形,圓形,長方形或正方形,五邊形,C,面形狀：觀察一下長方體，它是由哪些圖形組合起來的？會有圓圓的邊嗎？
10,盒子放在桌上，與桌面垂直的面有幾個？,2 個,4 個,6 個,0 個,B,垂直桌面：想像桌子是地板，長方體是你的房間。房間有幾面牆壁是立在在地板上的？
