id,question,option1,option2,option3,option4,ans,hit
1,一個完整的圓，圓心角是多少度？,90度,180度,270度,360度,D,選 A、B、C 的同學：再想一下，時鐘轉一整圈是多少度呢？
2,1/4 圓的圓心角是多少度？,45度,90度,60度,120度,B,試試看將 360 除以 4，這是一個直角喔！
3,半角（1/2 圓）的圓心角是多少度？,180度,90度,360度,100度,A,半圓就像一把量角器，最高刻度是多少呢？
4,若圓心角是 600，它是整個圓的幾分之幾圓？, 1/3, 1/4, 1/6,0    ,C,用 3600 ÷ 60 算算看，可以分成幾份呢？
5,半徑 2 公分的 1/4 圓與半徑 10 公分的 1/4 圓，誰的圓心角大？,2公分的,10公分的,一樣大,無法比較,C,記得喔！圓心角只看它是圓的幾分之幾，跟半徑無關。
6,兩個 1/8 圓合起來，圓心角是多少度？,45度,90度,180度,60度,B,1/8 + 1/8 = 2/8 = 1/4，再算算 1/4 圓的度數。
7,$1200的圓心角是幾分之幾圓？, 1/2, 1/3, 1/4, 1/6,B,試著計算 1200 ÷ 3600 並約分看看。
8,圓心角 300 是 1/12 圓，那 900 是幾個 1/12 圓？,2個,3個,4個,5個,B,900 ÷ 300 = 3，所以是 3 個喔！
9,一個圓平分成 10 份，每一份的圓心角是多少？,36度,10度,100度,360度,A,3600 ÷ 10 = 360，別忘了圓周是 360 度。
10,扇形的組成包含兩條半徑和一條什麼？,直線,圓弧,三角形,正方形,B,扇形的邊緣彎彎的，那個部分稱為「圓弧」。
