id,question,option1,option2,option3,option4,ans,hit,,
1,正方體的體積公式是什麼？,邊長+邊長+邊長,邊長 × 邊長,邊長 × 邊長 × 邊長,邊長 × 4,C,體積是立體的，要有長、寬、高三個維度。,,
2,若正方形的面積是 9，它的邊長是多少？,3,4.5,9,81,A,想一下九九乘法表，誰乘以自己等於 9？,,
3,體積的單位通常是什麼？,公分,平方公分,立方公分,公斤,C,長度是 1 次方，面積是 2 次方（平方），體積是 3 次方（立方）。,,
4,一個邊長 1 公分的正方體，體積是多少？,1 立方公分,3 立方公分,6 立方公分,10 立方公分,A,1 × 1 × 1 = ?,,
5,若正方體的邊長是 5，則其「底面積」是多少？,5,10,20,25,D,底面積就是其中一個正方形面，邊長乘邊長。,,
6,「底面積 × 高」是用來算什麼的？,周長,表面積,體積,重量,C,這是柱體（長方體、正方體）計算肚子裡有多大空間的通用公式。,,
7,有一個正方體邊長是 3，體積是多少？,9,18,27,54,C,3 × 3 × 3，小心不要算成 3 × 3 喔。,,
8,正方體有幾個面？且每個面形狀如何？,4個長方形,6個長方形,6個全等正方形,8個正方形,C,拿一個骰子數數看有幾個面。,,
9,如果一個正方體的體積是 8，請問它的邊長是？,2,4,6,8,A,2 × 2 × 2 = 8，所以邊長是...？,,
10,題目說「其中一個面的面積是 4」，這個 4 代表什麼？,邊長,底面積,體積,周長,B,題目說「面的面積」，那就是長乘以寬的結果囉。,,
