id,question,option1,option2,option3,option4,ans,hit
1,已知三角形的底是 (d)，且與底垂直的高是 (a)。面積算式是哪一個？,(a× d),a×d÷2,(a× c÷2),((a+b)× d÷2),B,先圈出底，再找與底垂直的高，最後一定要「÷2」。
2,已知三角形的底是 (c)，高不是 (a) 而是總高度 (a+)。面積算式是哪一個？,(a+b)× c÷2,a× c÷2,(a+b)× c,a× b÷2,A,高若分成兩段，要先把高度加完整（(a+)）再套公式。
3,三角形底 10 公分，高 6 公分，面積是多少平方公分？,60,30,16,40,B,先算「底×高」，再提醒自己：三角形要再除以2。
4,三角形底 12 公分，高是 (h) 公分，面積的化簡結果是哪一個？,12h,6h,12+h,(h÷12),B,面積是 (12× h÷2)，練習把「÷2」化簡成「乘一半」。
5,直角三角形的兩條直角邊分別是 7 公分、9 公分，面積是多少？,63,31,16,45,B,直角三角形可直接用「兩直角邊」當底和高，但仍要÷2。
6,一個三角形的底是 ()，斜邊是 (s)，與底垂直的高是 (h)。正確面積算式？,s×b÷2,b× h÷2,s× h÷2,b× h,B,別用斜邊當高：高一定要垂直底邊，找到 (h) 才能算。
7,長方形長 10、公分寬 4 公分，畫一條對角線把它分成兩個三角形，其中一個三角形面積是多少？,40,20,14,10,B,對角線把長方形分成兩個等面積三角形：先算長方形面積再除2。
8,三角形底為 (c)，對應的高為 (a)。下面哪個算式是面積？,a+c,a× c,a× c÷2,a÷ c,C,只要看到「底、對應高」就默念：底×高÷2，避免忘記÷2。
9,三角形底為 ((x+3)) 公分，高為 5 公分，面積的算式是哪個？,5(x+3),5(x+3)÷2,(x+3)÷10,x+3+5,B,有括號代表「整段底長」：先保留括號，最後再一起「×高÷2」。
10,三角形底其實是兩段合起來 (m+n)，高是 (p)。面積算式是哪個？,p(m+n),p(m+n)÷2,pm+pn,(m+n)÷ p,B,底如果是兩段相加，先把底寫成「(m+n)」，再套底×高÷2。
,,,,,,,
,,,,,,,
