id,question,option1,option2,option3,option4,ans,hit,,,
1,把 1/2 個披薩平分成 3 份，每份是「整個」披薩的幾分之幾？,1/2,1/3,1/5,1/6,D,分母相乘，2 × 3 = ?,,,
2,「1/4 的 1/2」可以用哪個算式表示？,1/4 + 1/2,1/4 × 1/2,1/4 ÷ 1/2,1/4 - 1/2,B,數學上的「的」通常代表「乘法」。,,,
3,將 1 張紙平分成 5 份，再將其中 1 份平分成 2 小片，這 1 小片是全張紙的？,1/5,1/7,1/10,1/2,C,分了 5 次又分 2 次，總共分了 5 × 2 次。,,,
4,甲說：1/3 ÷ 4 的結果比 1/3 小。這句話？,正確,錯誤,不一定,無法判斷,A,把東西分給別人，自己拿到的當然變少囉。,,,
5,一條繩子長 1/5 公尺，平分成 2 段，每段長多少？,1/10 公尺,2/5 公尺,1/7 公尺,1/2 公尺,A,1/5 ÷ 2 = 1/5 × 2。,,,
6,下列哪一個算式的答案最小？,1/2 × 1/2,1/2 ÷ 2,1/4 × 2,1/8 × 4,"A,B同",算算看，A=1/4，B=1/4，C=2/4，D=4/8... 哎呀，再檢查一下 A 和 B 誰比較小？其實 A 和 B 是一樣的喔！那 C 和 D 呢？,,,
7,如果 1 片是全部的 1/24，那 24 片合起來是多少？,1/24,1 (全部),24,12,B,分母是 24，集滿 24 份就是完整的一個。,,,
8,把 1/3 平分 3 次（每次分 2 份），最後會變成全張的？,1/6,1/9,1/12,1/24,D,1/3 × 1/2 × 1/2  × 1/2。,,,
9,題目中乙說「1/3 張和 8 片一樣大」，是因為？,3+5=8,4 × 2 = 8,24 ÷ 3 = 8,12 - 4 = 8,B,先分 4 份，每份變 2 片，乘法原理。,,,
10,「除以整數」相當於「乘以」這個整數的什麼數？,相反數,倒數,質數,因數,B,除以 4 等於乘以 1/4，1/4 是 4 的倒數。,,,
