id,question,option1,option2,option3,option4,ans,hit
1,下列何者與 10 × 4 ÷ 2 的結果相同？, 10 ÷ 2 × 4 , 10 × 2 ÷ 4 , 10 ÷ 4 × 2 , 2 ÷ 4 × 10,A,「看一看，數字 4 前面領到的牌子是『乘』還是『除』？搬家的時候，數字必須帶著它前面的符號一起走喔！」
2,算式 12 ÷ 4 × 3 的答案是多少？ ,1,9,12,6,B,「你是不是先算了後面的 4 × 3呢？記得喔，乘除混在一起時要『由左往右』排隊算，或是把除法看成一個整體的動作。」
3,「48 ÷ 6 ÷ 2」可以改寫成下列哪一個？ , 48 ÷ (6 × 2) , 48 × 6 ÷ 2 , 48 ÷ 2 × 6 , 48 × 2 ÷ 6,A,「小心『括號魔王』！當我們把連除改寫成括號時，括號裡面的符號會變號喔。想一想，連續除以兩個數，是不是等於除以這兩個數的乘積？」
4,找出與眾不同者：, 30 × 6 ÷ 3 , 30 ÷ 3 × 6 , 6 ÷ 3 × 30 , 30 × 3 ÷ 6,D,「這題要找『不一樣』的人。請檢查每個選項中的數字：誰是被乘的？誰是被除的？D 選項是不是把原本該除的數字拿去乘了？」
5,下列何者正確？ , 5 × 4 ÷ 2 = 5 ÷ 4 × 2 , 8 ÷ 2 × 4 = 8 × 4 ÷ 2 , 10 ÷ 5 ÷ 2 = 10 ÷ 2 × 5 , 6 × 3 × 2 = 6 ÷ 3 ÷ 2,B,「等號兩邊要相等，數字前面的符號必須完全對應。例如 C 選項左邊是兩個『除』，右邊卻出現一個『乘』，這樣平衡會壞掉喔！」
6,計算 25 × 8 ÷ 4 最快的方法是？ , 先算 25 × 8 , 先算 8 ÷ 4 , 先算 25 ÷ 4 , 由右往左算,B,「雖然 A 也能算出答案，但有沒有更聰明的路徑？看一看 8 ÷ 4 是不是能一眼看出答案，讓接下來的乘法變得很輕鬆？」
7,如果 A × B ÷ C = 10，那麼 A ÷ C × B 等於多少？ ,5,10,20, 不一定,B,「這題是考驗你的信心！只要數字沒變、領到的符號沒變，不論誰先算，結果都會一樣。這就是乘除的『搬家法則』！」
8,哪一個算式答案最大？ , 20 ÷ 5 × 2 , 20 × 2 ÷ 5 , 20 ÷ 2 × 5 , 2 × 20 ÷ 5,C,「算出每個選項的結果。發現了嗎？當『除以小數、乘以大數』時，數字會變得特別膨脹喔！算算看 C 是不是讓你驚訝的大？」
9,判斷 100 ÷ 10 × 2 是否等於 100 ÷ (10 × 2)？ , 是 , 否，前者較大 , 否，後者較大 , 無法判斷,B,「括號不是裝飾品喔100 ÷ 10 × 2$ 是把 100 分成 10 份再變兩倍；但加了括號會變成先算 10 × 2，除的份數變多了，答案會變小還是變大？」
10,下列哪一組數字順序交換後答案不變？ , 15 ÷ 3 × 5 與 15 ÷ 5 × 3 , 10 - 5 + 2 與 10 - 2 + 5 , 20 ÷ 4 ÷ 2 與 20 ÷ 2 × 4 , 以上皆非,A,「檢查符號！B 選項的加減法搬家雖然也行，但跟本單元的乘除規律不同。C 選項則是把原本該除的 4 變成了乘，答案會差很多喔！」
