id,question,option1,option2,option3,option4,ans,hit
1, 48 ÷ (3+5) = ? ,16,8,5,6,D, 先算括號：3+5，再做除法。 
2, 80 − 24 ÷ 6 = ? ,9,76,56,72,B, 看到「÷」要先算除法，再算減法。 
3, 100 − (20 ÷ 5) = ? ,96,80,20,4, A , 括號先算：20÷5，再用 100 去減。 
4, 36 ÷ (2×3) = ? ,6,18,12,3, A , 括號裡先算乘法：2×3=6。 
5, 15 + 6×2 = ? ,21,27,42,30, B , 先乘後加：6×2=12，15+12=27。 
6, (8+4)×3 = ? ,20,24,36,48,C, 括號先：8+4=12，再乘 3。 
7, 72 ÷ 8 + 1 = ? ,1,9,10,18,C, 先除法：72÷8=9，再 +1。 
8, 50 − 12 ÷ (3×2) = ? ,38,44,46,48,D, 括號先乘：3×2=6，12÷6=2，再 50−2。 
9, 9×(7−5) = ? ,18,14,45,27, A , 括號先：7−5=2，再乘 9。 
10, 120 ÷ (4+2×3) = ? ,12,10,24,30, A , 括號內先乘：2×3，再加 4，最後做除法。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
