id,question,option1,option2,option3,option4,ans,hit
1,三角形的三個內角加起來是多少度？,90,180,270,360,B,選 D 的話，那是四邊形喔！再回憶一下三角形的性質。
2,等腰直角三角形中，最大的角是多少度？,45,60,90,180,C,「直角」三角形一定有一個角是 90 度喔！
3,什麼是「平角」的度數？,90,180,270,360,B,平角就是一條直線，就像打開的扇子一樣。
4,等腰直角三角形的兩個銳角各是多少度？,30,45,60,90,B,因為是「等腰」，所以扣掉 90 度後，剩下的要平分喔！
5,若角 1 和角 2 互為補角（加起來 180 度），角 1 是 45 度，角 2 是多少？,135,145,45,155,A,用 $180 - 45$ 算算看，注意退位減法。
6,兩個 450 的角拼在一起是多少度？,45,75,90,100,C,$45 + 45$ 剛好會湊成一個漂亮的直角。
7,正方形的四個角都是幾度？,45,90,135,180,B,正方形就是由四個直角組成的。
8,下列哪種三角形的三個角會一樣大？,等腰,直角,正三角形,鈍角,C,正三角形每個角都是 $60^\circ$。
9,一個周角（一圈）是多少度？,180,270,360,400,C,圓形繞一圈就是 360 度。
10,900 + 450 = ?,125,135,145,155,B,小心計算個位數和十位數的進位。
