id,question,option1,option2,option3,option4,ans,hit
1,分數的橫線下方那個數字叫做什麼？,分子,分母,除號,整數,B,像媽媽揹孩子，媽媽在下面（分母），孩子在上面（分子）。
2,「一盒蘋果有 10 顆」，請問分母（基準量）應該是多少？,1,10,100,不一定,B,題目定義「一盒」有幾顆，分母就是多少。
3,承上題，如果我吃了 3 顆，是吃了幾盒？,3/10,10/3,3,10,A,部分放上面，全部放下面。
4,一包糖果 20 顆。桌上有 5 包糖果，弟弟吃了其中 1 顆。請問弟弟吃了「幾包」？,1/100,1/20,1/5,5/20,B,小心陷阱！題目問「幾包」，所以要看「一包」有幾顆，跟桌上有幾包沒關係。
5,下列哪一個分數代表「比 1 盒還要多」？（假設分母是 10）,9/10,10/10,11/10,1/10,C,分子比分母大，就是假分數，代表超過 1 了。
6,「5/12 打鉛筆」的意思是？,把 1 打鉛筆平分 5 份，拿了 12 份,把 1 打鉛筆平分 12 份，拿了 5 份,有 5 枝鉛筆,有 12 枝鉛筆,B,分母是切幾刀，分子是拿幾塊。
7,題目中「媽媽買了 2 盒」這類資訊，我們稱為？,關鍵條件,多餘資訊（干擾項）,必備數字,答案,B,有些數字是來考驗你專不專心的，解題時用不到。
8,1 盒布丁有 3 個，小明吃了 3 個，是吃了幾盒？,1/3 盒,3/3 盒 (1盒),3 盒,9 盒,B,3 個剛好裝滿 1 盒。
9,分子和分母一樣大時（例如 40/40），這個分數等於？,0,1,40,無限大,B,全拿走了，就是完整的「1」。
10,一籃雞蛋 10 顆。我要拿 12{10 籃，代表我要拿幾顆？,10 顆,2 顆,12 顆,8 顆,C,12/10 代表比 1 籃還多 2 顆喔。
