id,question,option1,option2,option3,option4,ans,hit
1,"已知：300+200=500
500×4=2000
2500−2000=500
合併成一個算式是？",300+200×4−2500=500, (300+200)×4−2500=500,2500−(300+200)×4=500,2500−300+200×4=500,C,題目是要將三個算式合併成一個，所以先找出第一步和第二步的關係，然後利用四則運算規則，進行分析。
2,"已知：
120+80=200
200×3=600
900−600=300
合併成一個算式是？",900−(120+80)×3=300,(120+80)×3−900=300,900−120+80×3=300,120+80×3−900=300,A,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
3,"已知：
45+55=100
100×2=200
500−200=300
合併成一個算式是？",500−(45+55)×2=300, (45+55)×2−500=300,500−45+55×2=300, 45+55×2−500=300,A,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
4,"已知：
600+150=750
750×2=1500
2000−1500=500
合併成一個算式是？", (600+150)×2−2000=500,2000−(600+150)×2=500,2000−600+150×2=500,600+150×2−2000=500,B,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
5,"已知：
25+75=100
100×5=500
800−500=300
合併成一個算式是？",800−(25+75)×5=300,(25+75)×5−800=300,800−25+75×5=300,25+75×5−800=300,A,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
6,"已知：
410+90=500
500×6=3000
3200−3000=200
合併成一個算式是？",410+90×6−3200=200,(410+90)×6−3200=200,3200−410+90×6=200,3200−(410+90)×6=200,D,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
7,"已知：
70+30=100
100×7=700
1000−700=300
合併成一個算式是？",(70+30)×7−1000=300,1000−70+30×7=300,70+30×7−1000=300,1000−(70+30)×7=300,C,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
8,"已知：
130+20=150
150×4=600
1000−600=400
合併成一個算式是？",130+20×4−1000=400, (130+20)×4−1000=400,1000−130+20×4=400,1000−(130+20)×4=400,D,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
9,"已知：
260+40=300
300×3=900
1200−900=300
合併成一個算式是？",(260+40)×3−1200=300,1200−(260+40)×3=300,1200−260+40×3=300, 260+40×3−1200=300,B,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
10,"已知：
18+12=30
30×8=240
500−240=260
合併成一個算式是？",(18+12)×8−500=260,500−18+12×8=260,500−(18+12)×8=260,18+12×8−500=260,C,先比較題目和老師教的內容有什麼相似的地方，然後仿照老師的作法找出正確的答案。
