id,question,option1,option2,option3,option4,ans,hit
1,哪個分數比較大？ 1/2 和 3/8 ,1/2,3/8,一樣大 ,不能比 ,A ,先通分成 /8：1/2=4/8，比 3/8 大。
2,哪個分數比較小？ 2/3 和 3/6 , 2/3, 1/2,一樣小 ,不能比 ,B ,3/6=1/2；2/3 約 0.67，比 0.5 大，所以小的是 3/6。
3,3/4 變成分母 8，是多少？ ,6/8,5/8,12/8,8/6,A ,分母 4 變 8 是×2，分子也要×2。
4,1/2、5/8、3/4 由小到大排序？ ,1/2 < 5/8 < 3/4,5/8 <1/2 <3/4 ,3/4 < 5/8 < 1/2,1/2 < 3/4 < 5/8,A ,全通分成 /8：1/2=4/8，5/8，3/4=6/8。
5,哪個最大？ 4/10、1/2、3/5 ,4/10,1/2,3/5,一樣大 ,C ,先約分/通分：4/10=2/5=0.4，1/2=0.5，3/5=0.6 最大。
6,同分母時怎麼比大小？ 7/9 和 5/9 ,7/9 大 ,5/9 大 ,一樣大 ,看分母 ,A ,同分母只看分子，分子大就大。
7,2/4 和 4/8 的關係？ ,2/4 大 ,4/8 大 ,一樣大 ,不能比 ,C ,2/4=1/2，4/8也=1/2，所以一樣大。
8,3/6、4/6、5/6 哪個最小？ ,3/6,4/6,5/6,一樣小 ,A ,同分母 /6，比分子：3 最小。
9,2/5 變成分母 10，是多少？ ,2/10,4/10,10/2,5/10,B ,分母×2，分子也×2：2/5=4/10。
10,1/3、3/9、2/6 哪個最大？ ,1/3,3/9,2/6,都一樣大 ,D ,三個都等於 1/3（3/9=1/3，2/6=1/3）。
,,,,,,,
,,,,,,,
