id,question,option1,option2,option3,option4,ans,hit,,
1,當一個大於 0 的數乘以「真分數」時，結果會？,變大,變小,不變,變成 0,B,"真分數就是像 \frac{1}{2}, \frac{2}{3} 這種比 1 小的分數。",,
2,若 A × 0.9 = B，且 A 不為 0，那麼A和B誰大？,A > B,A < B,A = B,無法比較,A,0.9 比 1 小，所以會讓數字「縮水」。,,
3,若 C × 1.5 = D，且 C 不為 0，那麼C和D誰大？,C > D,C < D,C = D,D 是 C 的一半,B,1.5 是 1 倍又多一半，當然會變大囉。,,
4,下列哪一個算式的答案比 100 還大？,100 × 0.99,100 × 1/2,100 × 1.01,100 × 3/4,C,找找看哪一個乘數是「大於 1」的？,,
5,5/5 乘上任何數（0除外），結果會？,變大,變小,不變,變負數,C,\frac{5}{5} 其實就是 1 喔！,,
6,下列哪個乘數會讓積「變小」？,4/3,1.2,99/100,1.5,C,比 1 小的數會讓結果變小，注意看分母比分子大的那個。,,
7,甲 × 乙 >  甲（甲 > 0），請問乙可能是？,0.8,46056,1,1.1,D,結果要變大，乘數必須比 1 大。,,
8,小明身高 × 0.95 = 小華身高，誰比較高？,小明,小華,一樣高,不一定,A,小華是小明「打折」後的高度。,,
9,A × □ < A（> 0），□ 應填入？,比 1 大的數,比 1 小的數,等於 1,等於 0,B,要變小，就要乘上一個「不滿 1」的數。,,
10,乘數大於 1，積就比被乘數大；乘數小於 1，積就比被乘數小。這個規則適用於？,只有分數,只有小數,正數的分數與小數都適用,只有整數,C,數學的規則通常是很公平的，分數小數都一家親。,,
