id,question,option1,option2,option3,option4,ans,hit
1,在數學上，兩個圖形「全等」代表什麼意思？,形狀一樣但大小不同,面積一樣但形狀不同,形狀和大小都完全一樣,顏色一樣,C,全等就像是「影分身」，必須一模一樣才行。
2,如果一個小格子的面積是 5，那麼 3 個全等的小格子拼起來，總面積是多少？,8,10,15,25,C,面積是可以加起來的，所以 5 × 3 就可以囉。
3,圖形甲由 2 塊積木組成，圖形乙由 4 塊積木組成，乙的面積是甲的幾倍？,2 倍,3 倍,4 倍,一樣大,A,用除法算算看，4 ÷ 2 等於多少？
4,「平行四邊形」的對邊有什麼特性？,不平行且不相等,平行但不相等,不平行但相等,平行且相等,D,平行四邊形顧名思義就是「兩組對邊互相平行」，而且長度也會一樣。
5,若甲面積是 10，乙面積是甲的 3 倍，乙面積是多少？,13,20,30,100,C,倍數就是乘法，「甲的 3 倍」就是 10 × 3。
6,有一個大圖形由 10 個全等小圖形組成，若大圖形面積是 100，一個小圖形面積是多少？,1,10,20,50,B,總共 100 分給 10 個兄弟，一人分多少？用除法。
7,在方格紙上計算面積時，通常使用哪種策略最快？,拿尺量,數格子,用微積分,用猜的,B,既然格子都畫好了，直接數是最準確的，拿尺量可能會有誤差。
8,下列哪種單位是用來表示「面積」的？,公分 (cm),公斤 (kg),平方公分 ($cm^2$),公升 (L),C,面積是指鋪滿平面的大小，要用「平方」單位；公分是量身高的長度喔。
9,如果把一個圖形切割成兩半，這兩半的面積加起來會等於原圖形嗎？,會,不會，會變小,不會，會變大,不一定,A,就像撕紙一樣，紙張總面積不會因為撕開而消失。
10,題目中「甲由 2 個小圖形組成，面積 21」，請問 1 個小圖形面積是多少？,10,10.5,11,42,B,2 個是 21，那 1 個就是一半，也就是 21 ÷ 2。
