id,question,option1,option2,option3,option4,ans,hit
1,計算 2 ÷ 3 ，商算到小數點後第一位，餘數是多少？,0.2,2,0.02,0.6,A,選 B 的你：記得喔！商算到 0.6，餘數不能比除數 3 還大呀。選 C 的你：小數點點錯位囉，再對齊一次被除數的小數點看看！
2,計算 5 ÷ 7 ，商算到小數點後第二位，餘數是多少？,0.1,0.01,0.001,0.05,B,這題商是 0.71， 7 \times 0.71 = 4.97。想一想，5 - 4.97 是多少呢？
3,計算 10 ÷ 6 ，商算到小數點後第一位，餘數是多少？,0.4,4,0.04,0.6,A,雖然直式最後剩下 4，但因為商點到了十分位，餘數的小數點也要跟著被除數(10.0)對齊喔！
4,計算 0.8 ÷ 0.3 ，商算到個位數，餘數是多少？,2,0.2,0.02,20,B,注意！雖然除數擴大變成了 3，但求餘數時要看「原本」的小數點位置喔！
5,計算 1 ÷ 9 ，商算到小數點後第三位，餘數是多少？,0.1,0.01,0.001,0.0001,C,商是 0.111，最後剩下的 1 是在千分位，所以是 0.001。
6,在 a ÷ b = q … r 中，關於餘數 r 的性質，何者正確？, r 一定比 q 小, r 一定比 b 小, r 一定是整數, r 一定比 a 大,B,這是除法的大原則：餘數一定要比除數小，不然就可以繼續除下去囉！
7,計算 4 ÷ 0.7 ，商算到個位數，餘數是多少？,5,0.5,0.05,35,B,4 ÷ 0.7 商是 5， 0.7 × 5 = 3.5，所以 4 - 3.5 = 0.5。
8,計算 11 ÷ 3 ，商算到小數點後第二位，餘數是多少？,0.1,0.02,0.01,1,C,商是 3.66， 3.66 × 3 = 10.98。算算看 11 - 10.98 等於多少？
9,將 2.5 公升的水每 0.6 公升倒滿一小杯，最後剩下幾公升？, 0.1 公升, 1 公升, 0.01 公升, 0.4 公升,A,2.5 ÷ 0.6 = 4 餘 0.1。剩下的小水滴也是有單位的，要對齊原本的小數點。
10,計算 1 ÷ 11 ，商算到小數點後第二位，餘數是多少？,0.01,0.1,0.001,1,A,商是 0.09， 11 × 0.09 = 0.99，所以剩下 0.01。
