id,question,option1,option2,option3,option4,ans,hit
1,三角柱有幾個底面？,1個,2個,3個,0個,B,角「柱」就像柱子，有頭有尾，所以是上下 2 個底面喔。
2,五角錐有幾個底面？,1個,2個,5個,6個,A,角「錐」尖尖的，只有下面 1 個底面支撐喔。
3,六角柱的側邊（側面與側面的交線）有幾條？,3條,6條,12條,18條,B,側邊數量會跟底面的邊數一樣多喔！
4,四角錐共有幾個頂點？,4個,5個,8個,12個,B,底面 4 個點加上最上面尖尖的 1 個點，一共是 5 個。
5,三角柱的邊數是多少？,6條,9條,12條,15條,B,套用公式：底面邊數 3 乘以 3，所以是 9 條。
6,哪種形體的側面形狀一定是三角形？,角柱,角錐,圓柱,球體,B,因為角錐要往中間縮成一個點，所以側面會是三角形。
7,七角柱的底面是什麼形狀？,三角形,五邊形,七邊形,長方形,C,名字叫「七角」柱，底面就是七邊形。
8,八角錐有幾條邊？,8條,16條,24條,32條,B,套用公式：底面 8 條邊，側面 8 條邊，共 16 條。
9,正方體其實也是一種什麼柱？,三角柱,四角柱,五角柱,六角柱,B,正方體有 4 條邊的底面，所以是四角柱的特例。
10,十角柱有幾個面？,10個,11個,12個,20個,C,側面的 10 個面加上下 2 個底面，共 12 個。
